genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,item_id
Alternative,Tonic,If You Could Only See,63,0.00222,0.443,261533,0.94,0.0,A#,0.263,-5.107,Minor,0.04,95.196,4/4,0.521,274
Alternative,Summer Walker,CPR,64,0.637,0.693,203240,0.369,0.00335,G,0.0951,-12.683,Minor,0.175,140.148,4/4,0.141,139
Alternative,The Black Keys,Lonely Boy,69,0.00417,0.356,193653,0.872,0.00975,D,0.0997,-7.837,Major,0.068,166.3,4/4,0.607,236
Alternative,Theory of a Deadman,Angel,64,0.00251,0.443,202213,0.844,0.0,B,0.085,-5.414,Minor,0.0425,76.001,4/4,0.452,186
Alternative,6LACK,Luving U,64,0.0886,0.723,252893,0.471,0.000881,A#,0.112,-9.506,Major,0.122,121.962,4/4,0.135,291
Alternative,Nickelback,If Today Was Your Last Day,65,8.67e-05,0.485,249067,0.911,0.0,D#,0.092,-5.749,Major,0.0355,89.956,4/4,0.568,167
Alternative,Crazy Town,Butterfly,67,0.00132,0.736,216733,0.811,0.000142,A,0.107,-4.17,Minor,0.081,103.502,4/4,0.609,232
Alternative,Chris Tomlin,Good Good Father,63,0.315,0.429,293398,0.587,0.0,A,0.108,-4.588,Major,0.0275,145.003,3/4,0.164,302
Alternative,GoldLink,Herside Story,65,0.656,0.885,183760,0.595,4.42e-06,G,0.105,-5.487,Major,0.286,148.034,4/4,0.754,266
Alternative,grandson,Despicable,63,0.0123,0.576,223893,0.782,0.00241,C#,0.467,-6.167,Major,0.0346,87.971,4/4,0.367,135
Alternative,Blood Orange,Dark & Handsome,65,0.689,0.584,153750,0.389,0.0,B,0.319,-12.315,Major,0.154,79.976,4/4,0.288,142
Alternative,Gorillaz,Humility (feat. George Benson),64,0.144,0.632,197933,0.807,0.0211,C,0.125,-5.893,Major,0.126,160.174,4/4,0.784,309
Alternative,Passion Pit,Take a Walk,65,0.0338,0.566,264493,0.755,0.0,B,0.315,-5.526,Major,0.0368,101.006,4/4,0.445,289
Alternative,Pearl Jam,Last Kiss,67,0.363,0.622,195467,0.692,0.000158,G,0.193,-6.97,Major,0.0276,112.053,4/4,0.774,119
